log,method,size0,normal0,anom0,size1,normal1,anom1,nu
log1_anom_insert_10,oc,92,77,15,1408,1258,150,0.05
log1_anom_insert_10,oc,124,106,18,1376,1229,147,0.1
log1_anom_insert_10,oc,452,398,54,1048,937,111,0.3
log1_anom_insert_10,oc,727,645,82,773,690,83,0.5
log1_anom_insert_10,sv,140,123,17,1360,1212,148
log2_anom_insert_5,oc,707,658,49,793,756,37,0.05
log2_anom_insert_5,oc,707,658,49,793,756,37,0.1
log2_anom_insert_5,oc,707,658,49,793,756,37,0.3
log2_anom_insert_5,oc,707,658,49,793,756,37,0.5
log2_anom_insert_5,sv,78,74,4,1422,1340,82
log2_anom_insert_10,oc,699,635,64,801,709,92,0.05
log2_anom_insert_10,oc,699,635,64,801,709,92,0.1
log2_anom_insert_10,oc,699,635,64,801,709,92,0.3
log2_anom_insert_10,oc,699,635,64,801,709,92,0.5
log2_anom_insert_10,sv,129,114,15,1371,1230,141
log1_anom_all_30,oc,76,46,30,1424,1008,416,0.05
log1_anom_all_30,oc,171,110,61,1329,944,385,0.1
log1_anom_all_30,oc,382,257,125,1118,797,321,0.3
log1_anom_all_30,oc,601,414,187,899,640,259,0.5
log1_anom_all_30,sv,0,0,0,1500,1054,446
log1_anom_all_5,oc,97,90,7,1403,1343,60,0.05
log1_anom_all_5,oc,128,119,9,1372,1314,58,0.1
log1_anom_all_5,oc,449,423,26,1051,1010,41,0.3
log1_anom_all_5,oc,668,634,34,832,799,33,0.5
log1_anom_all_5,sv,0,0,0,1500,1433,67
log1_anom_rework_10,oc,55,47,8,1445,1298,147,0.05
log1_anom_rework_10,oc,122,107,15,1378,1238,140,0.1
log1_anom_rework_10,oc,441,392,49,1059,953,106,0.3
log1_anom_rework_10,oc,741,657,84,759,688,71,0.5
log1_anom_rework_10,sv,56,51,5,1444,1294,150
log1_anom_insert_15,oc,60,49,11,1440,1225,215,0.05
log1_anom_insert_15,oc,212,179,33,1288,1095,193,0.1
log1_anom_insert_15,oc,421,356,65,1079,918,161,0.3
log1_anom_insert_15,oc,717,611,106,783,663,120,0.5
log1_anom_insert_15,sv,220,194,26,1280,1080,200
log2_anom_skip_15,oc,67,56,11,1433,1207,226,0.05
log2_anom_skip_15,oc,140,117,23,1360,1146,214,0.1
log2_anom_skip_15,oc,200,168,32,1300,1095,205,0.3
log2_anom_skip_15,oc,200,168,32,1300,1095,205,0.5
log2_anom_skip_15,sv,211,178,33,1289,1085,204
log1_anom_earlylate_10,oc,100,92,8,1400,1284,116,0.05
log1_anom_earlylate_10,oc,153,143,10,1347,1233,114,0.1
log1_anom_earlylate_10,oc,416,388,28,1084,988,96,0.3
log1_anom_earlylate_10,oc,637,589,48,863,787,76,0.5
log1_anom_earlylate_10,sv,0,0,0,1500,1376,124
log2_anom_all_30,oc,695,506,189,805,593,212,0.05
log2_anom_all_30,oc,695,506,189,805,593,212,0.1
log2_anom_all_30,oc,695,506,189,805,593,212,0.3
log2_anom_all_30,oc,695,506,189,805,593,212,0.5
log2_anom_all_30,sv,0,0,0,1500,1099,401
log2_anom_all_20,oc,0,0,0,1500,1217,283,0.05
log2_anom_all_20,oc,0,0,0,1500,1217,283,0.1
log2_anom_all_20,oc,0,0,0,1500,1217,283,0.3
log2_anom_all_20,oc,705,563,142,795,654,141,0.5
log2_anom_all_20,sv,0,0,0,1500,1217,283
log1_anom_earlylate_20,oc,88,72,16,1412,1141,271,0.05
log1_anom_earlylate_20,oc,141,120,21,1359,1093,266,0.1
log1_anom_earlylate_20,oc,485,398,87,1015,815,200,0.3
log1_anom_earlylate_20,oc,827,667,160,673,546,127,0.5
log1_anom_earlylate_20,sv,0,0,0,1500,1213,287
log2_anom_insert_15,oc,0,0,0,1500,1271,229,0.05
log2_anom_insert_15,oc,0,0,0,1500,1271,229,0.1
log2_anom_insert_15,oc,0,0,0,1500,1271,229,0.3
log2_anom_insert_15,oc,1270,1072,198,230,199,31,0.5
log2_anom_insert_15,sv,223,195,28,1277,1076,201
log2_anom_rework_15,oc,642,546,96,858,730,128,0.05
log2_anom_rework_15,oc,642,546,96,858,730,128,0.1
log2_anom_rework_15,oc,642,546,96,858,730,128,0.3
log2_anom_rework_15,oc,715,610,105,785,666,119,0.5
log2_anom_rework_15,sv,202,174,28,1298,1102,196
log1_anom_earlylate_30,oc,92,64,28,1408,998,410,0.05
log1_anom_earlylate_30,oc,142,104,38,1358,958,400,0.1
log1_anom_earlylate_30,oc,480,326,154,1020,736,284,0.3
log1_anom_earlylate_30,oc,800,557,243,700,505,195,0.5
log1_anom_earlylate_30,sv,0,0,0,1500,1062,438
log2_anom_rework_20,oc,0,0,0,1500,1185,315,0.05
log2_anom_rework_20,oc,0,0,0,1500,1185,315,0.1
log2_anom_rework_20,oc,0,0,0,1500,1185,315,0.3
log2_anom_rework_20,oc,1325,1051,274,175,134,41,0.5
log2_anom_rework_20,sv,298,231,67,1202,954,248
log1,oc,69,69,0,1431,1431,0,0.05
log1,oc,162,162,0,1338,1338,0,0.1
log1,oc,428,428,0,1072,1072,0,0.3
log1,oc,673,673,0,827,827,0,0.5
log2_anom_skip_5,oc,770,742,28,730,691,39,0.05
