log2,oc,0.05,0.5
log2,oc,0.1,0.5
log2,oc,0.3,0.5
log2,oc,0.5,0.0
log1_anom_insert_5,oc,0.05,0.9
log1_anom_insert_5,oc,0.1,0.85
log1_anom_insert_5,oc,0.3,0.67
log1_anom_insert_5,oc,0.5,0.47
log1_anom_insert_5,sv,-1,0.91
log1_anom_rework_15,oc,0.05,0.81
log1_anom_rework_15,oc,0.1,0.79
log1_anom_rework_15,oc,0.3,0.63
log1_anom_rework_15,oc,0.5,0.47
log1_anom_rework_15,sv,-1,0.79
log2_anom_all_5,oc,0.05,0.49
log2_anom_all_5,oc,0.1,0.49
log2_anom_all_5,oc,0.3,0.49
log2_anom_all_5,oc,0.5,0.49
log2_anom_all_5,sv,-1,0.96
log1_anom_rework_30,oc,0.05,0.66
log1_anom_rework_30,oc,0.1,0.65
log1_anom_rework_30,oc,0.3,0.57
log1_anom_rework_30,oc,0.5,0.48
log1_anom_rework_30,sv,-1,0.64
log1_anom_all_20,oc,0.05,0.77
log1_anom_all_20,oc,0.1,0.76
log1_anom_all_20,oc,0.3,0.61
log1_anom_all_20,oc,0.5,0.5
log1_anom_all_20,sv,-1,0.8
log1_anom_rework_5,oc,0.05,0.91
log1_anom_rework_5,oc,0.1,0.86
log1_anom_rework_5,oc,0.3,0.67
log1_anom_rework_5,oc,0.5,0.49
log1_anom_rework_5,sv,-1,0.93
log1_anom_all_10,oc,0.05,0.87
log1_anom_all_10,oc,0.1,0.83
log1_anom_all_10,oc,0.3,0.64
log1_anom_all_10,oc,0.5,0.44
log1_anom_all_10,sv,-1,0.9
log2_anom_earlylate_15,oc,0.05,0.52
log2_anom_earlylate_15,oc,0.1,0.52
log2_anom_earlylate_15,oc,0.3,0.52
log2_anom_earlylate_15,oc,0.5,0.15
log2_anom_earlylate_15,sv,-1,0.85
log2_anom_earlylate_5,oc,0.05,0.94
log2_anom_earlylate_5,oc,0.1,0.94
log2_anom_earlylate_5,oc,0.3,0.94
log2_anom_earlylate_5,oc,0.5,0.49
log2_anom_earlylate_5,sv,-1,0.94
log2_anom_earlylate_30,oc,0.05,0.74
log2_anom_earlylate_30,oc,0.1,0.74
log2_anom_earlylate_30,oc,0.3,0.74
log2_anom_earlylate_30,oc,0.5,0.26
log2_anom_earlylate_30,sv,-1,0.74
